tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Mitsubishi Outlander 2.0 CVT Premium 2022,720000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 59.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Ferrari F8 Spider 2022,26999000000.0,Năm SX 2022,Na,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 7.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
BMW X6 2020,2638000000.0,Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 54.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford Ranger XLS 2.0L 4x2 AT 2021,545000000.0,Năm SX 2021,Kiểu dáng Bán tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 90.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy dầu
MG ZS 1.5L LUX+ 2025,525000000.0,Năm SX 2025,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 1.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Toyota Innova 2.0E 2019,430000000.0,Năm SX 2019,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 180.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
MG ZS 1.5 2WD STD+ 2021,385000000.0,Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 30.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Mitsubishi Xpander AT Premium 2022,555000000.0,Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 24.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Mercedes-Benz C300 AMG 2022,1789000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 17.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
VinFast VF e34 2022,415000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 86.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Suzuki Swift GLX 1.2 CVT 2019,430000000.0,Năm SX 2019,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 69.800 km,"Tỉnh thành
Đà Nẵng",Hộp số Số tự động,Nhiên liệu Máy xăng
Mitsubishi Xpander AT Premium 2023,585000000.0,Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 20.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Mercedes-Benz C300 AMG 2022,1839000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 26.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford EcoSport Titanium 1.5L AT 2019,413000000.0,Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 92.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Toyota Vios 1.5E MT 2015,180000000.0,Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 333.830 km,"Tỉnh thành
Hà Nội",Hộp số Số sàn,Nhiên liệu Máy xăng
Toyota Wigo 1.2 G AT 2021,288000000.0,Năm SX 2021,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 79.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Mazda CX-5 2019,625000000.0,Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 70.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Grand i10 Sedan 1.2 MT 2020,250000000.0,Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 200.000 km,"Tỉnh thành
Hà Nội",Hộp số Số sàn,Nhiên liệu Máy xăng
Mazda CX-5 2.0 Deluxe 2018,565000000.0,Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 69.000 km,"Tỉnh thành
Khánh Hòa",Hộp số Số tự động,Nhiên liệu Máy xăng
Chevrolet Orlando LTZ 1.8 2016,340000000.0,Năm SX 2016,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 106.000 km,"Tỉnh thành
Bình Định",Hộp số Số tự động,Nhiên liệu Máy xăng
MG ZS 1.5 2WD LUX+ 2025,525000000.0,Năm SX 2025,Kiểu dáng Crossover,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 1.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Hyundai Santa Fe 2.2 Dầu Cao cấp 2024,1265000000.0,Năm SX 2024,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 13.000 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy dầu
Lexus ES 250 2022,1999000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 46.004 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Toyota Vios 1.5E MT 2020,296000000.0,Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 62.000 km,"Tỉnh thành
Bình Dương",Hộp số Số sàn,Nhiên liệu Máy xăng
Mercedes-Benz GLS 450 2021,4099000000.0,Năm SX 2021,Na,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 29.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Chevrolet Spark LS 2012,110000000.0,Năm SX 2012,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 98.000 km,"Tỉnh thành
Đồng Nai",Hộp số Số sàn,Nhiên liệu Máy xăng
Jeep Wrangler Rubicon 2021,2449000000.0,Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 43.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Suzuki Swift 2019,430000000.0,Năm SX 2019,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 68.978 km,"Tỉnh thành
Đà Nẵng",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Morning MT 2015,143000000.0,Năm SX 2015,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 11.000 km,"Tỉnh thành
Bình Dương",Hộp số Số sàn,Nhiên liệu Máy xăng
Jeep Wrangler Rubicon 2021,2449000000.0,Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 43.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Suzuki Swift 2019,430000000.0,Năm SX 2019,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 68.978 km,"Tỉnh thành
Đà Nẵng",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Morning MT 2015,143000000.0,Năm SX 2015,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 11.000 km,"Tỉnh thành
Bình Dương",Hộp số Số sàn,Nhiên liệu Máy xăng
Ford Everest Limited 2009,305000000.0,Năm SX 2009,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 170.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy dầu
Chevrolet Colorado  2018,420000000.0,Năm SX 2018,Kiểu dáng Bán tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 110.000 km,"Tỉnh thành
Long An",Hộp số Số tự động,Nhiên liệu Máy dầu
Chevrolet Spark 1.2 mt 2011,118000000.0,Năm SX 2011,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 70.000 km,"Tỉnh thành
An Giang",Hộp số Số sàn,Nhiên liệu Máy xăng
Toyota Alphard Executive Lounge 2019,2999000000.0,Năm SX 2019,Kiểu dáng Van/Minivan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 83.008 km,"Tỉnh thành
Hà Nội",Hộp số Số tự động,Nhiên liệu Máy xăng
Porsche Cayenne Coupe 2022,4599000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 22.222 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Mazda 6 2.0 Premium 2023,695000000.0,Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 37.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Mazda 3 Sedan 1.5L Premium 2022,615000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 12.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Carnival 2.2D Signature 2022,1175000000.0,Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 70.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy dầu
Mazda 3 Sedan 1.5L Luxury 2022,570000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 23.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Kia Sorento 2.5G Premium 2022,919000000.0,Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 30.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Lexus ES 250 2022,2190000000.0,Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,Km đã đi 28.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford EcoSport Titanium 1.5L AT 2019,399000000.0,Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 39.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Ford EcoSport Titanium 1.5L AT 2019,399000000.0,Năm SX 2019,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 39.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
Toyota Fortuner 2.7 V 4X4 AT 2010,320000000.0,Năm SX 2010,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,Km đã đi 114.000 km,"Tỉnh thành
Tp.HCM",Hộp số Số tự động,Nhiên liệu Máy xăng
