tên_xe,giá,năm_sản_xuất,kiểu_dáng,tình_trạng,xuất_xứ,số_km_đã_đi,tỉnh_thành,hộp_số,nhiên_liệu
Toyota Innova 2.0E 2019,4300000000,2019,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,180000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mg Zs 1.5 2Wd Std+ 2021,3850000000,2021,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Nhập Khẩu,30000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Xpander At Premium 2022,5550000000,2022,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Trong Nước,24000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C300 Amg 2022,17890000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,17000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Vinfast Vf E34 2022,4150000000,2022,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,86000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Suzuki Swift Glx 1.2 Cvt 2019,4300000000,2019,Kiểu Dáng Hatchback,Tình Trạng Xe Cũ,Nhập Khẩu,69800,"Tỉnh Thành
Đà Nẵng",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mitsubishi Xpander At Premium 2023,5850000000,2023,Kiểu Dáng Mpv,Tình Trạng Xe Cũ,Nhập Khẩu,20000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Mercedes-Benz C300 Amg 2022,18390000000,2022,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Trong Nước,26000,"Tỉnh Thành
Tp.Hcm",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Ford Ecosport Titanium 1.5L At 2019,4130000000,2019,Kiểu Dáng Suv,Tình Trạng Xe Cũ,Trong Nước,92000,"Tỉnh Thành
Hà Nội",Hộp Số Số Tự Động,Nhiên Liệu Máy Xăng
Toyota Vios 1.5E Mt 2015,1800000000,2015,Kiểu Dáng Sedan,Tình Trạng Xe Cũ,Nhập Khẩu,333830,"Tỉnh Thành
Hà Nội",Hộp Số Số Sàn,Nhiên Liệu Máy Xăng
